🇯🇵	🇺🇸	🇩🇪	🇫🇷	🇮🇹	🇪🇸	🇰🇷	🇨🇳	🇹🇼
いわくだき	Rock Smash	Zertrümmerer	Éclate-Roc	Spaccaroccia	Golpe Roca	바위깨기	碎岩	碎岩
うずしお	Whirlpool	Whirlpool	Siphon	Mulinello	Torbellino	바다회오리	潮旋	潮旋
ふくろだたき	Beat Up	Prügler	Baston	Picchiaduro	Paliza	집단구타	围攻	圍攻
ねこだまし	Fake Out	Mogelhieb	Bluff	Bruciapelo	Sorpresa	속이다	击掌奇袭	擊掌奇襲
さわぐ	Uproar	Aufruhr	Brouhaha	Baraonda	Alboroto	소란피기	吵闹	吵鬧
たくわえる	Stockpile	Horter	Stockage	Accumulo	Reserva	비축하기	蓄力	蓄力
はきだす	Spit Up	Entfessler	Relâche	Sfoghenergia	Escupir	토해내기	喷出	噴出
のみこむ	Swallow	Verzehrer	Avale	Introenergia	Tragar	꿀꺽	吞下	吞下
ねっぷう	Heat Wave	Hitzewelle	Canicule	Ondacalda	Onda Ígnea	열풍	热风	熱風
あられ	Hail	Hagelsturm	Grêle	Grandine	Granizo	싸라기눈	冰雹	冰雹
いちゃもん	Torment	Folterknecht	Tourmente	Attaccalite	Tormento	트집	无理取闹	無理取鬧
おだてる	Flatter	Schmeichler	Flatterie	Adulazione	Camelo	부추기기	吹捧	吹捧
おにび	Will-O-Wisp	Irrlicht	Feu Follet	Fuocofatuo	Fuego Fatuo	도깨비불	鬼火	鬼火
おきみやげ	Memento	Memento-Mori	Souvenir	Memento	Legado	추억의선물	临别礼物	臨別禮物
からげんき	Facade	Fassade	Façade	Facciata	Imagen	객기	硬撑	硬撐
きあいパンチ	Focus Punch	Power-Punch	Mitra-Poing	Centripugno	Puño Certero	힘껏펀치	真气拳	真氣拳
きつけ	Smelling Salts	Riechsalz	Stimulant	Maniereforti	Estímulo	정신차리기	清醒	清醒
このゆびとまれ	Follow Me	Spotlight	Par Ici	Sonoqui	Señuelo	날따름	看我嘛	看我嘛
しぜんのちから	Nature Power	Natur-Kraft	Force-Nature	Naturforza	Adaptación	자연의힘	自然之力	自然之力
じゅうでん	Charge	Ladevorgang	Chargeur	Sottocarica	Carga	충전	充电	充電
ちょうはつ	Taunt	Verhöhner	Provoc	Provocazione	Mofa	도발	挑衅	挑釁
てだすけ	Helping Hand	Rechte Hand	Coup d’Main	Altruismo	Refuerzo	도우미	帮助	幫助
トリック	Trick	Trickbetrug	Tourmagik	Raggiro	Truco	트릭	戏法	戲法
なりきり	Role Play	Rollentausch	Imitation	Giocodiruolo	Imitación	역할	扮演	扮演
ねがいごと	Wish	Wunschtraum	Vœu	Desiderio	Deseo	희망사항	祈愿	祈願
ねこのて	Assist	Zuschuss	Assistance	Assistente	Ayuda	조수	借助	借助
ねをはる	Ingrain	Verwurzler	Racines	Radicamento	Arraigo	뿌리박기	扎根	扎根
ばかぢから	Superpower	Kraftkoloss	Surpuissance	Troppoforte	Fuerza Bruta	엄청난힘	蛮力	蠻力
マジックコート	Magic Coat	Magiemantel	Reflet Magik	Magivelo	Capa Mágica	매직코트	魔法反射	魔法反射
リサイクル	Recycle	Aufbereitung	Recyclage	Riciclo	Reciclaje	리사이클	回收利用	回收利用
リベンジ	Revenge	Vergeltung	Vendetta	Vendetta	Desquite	리벤지	报复	報復
かわらわり	Brick Break	Durchbruch	Casse-Brique	Breccia	Demolición	깨트리다	劈瓦	劈瓦
あくび	Yawn	Gähner	Bâillement	Sbadiglio	Bostezo	하품	哈欠	哈欠
はたきおとす	Knock Off	Abschlag	Sabotage	Privazione	Desarme	탁쳐서떨구기	拍落	拍落
がむしゃら	Endeavor	Notsituation	Effort	Rimonta	Esfuerzo	죽기살기	蛮干	蠻幹
ふんか	Eruption	Eruption	Éruption	Eruzione	Estallido	분화	喷火	噴火
スキルスワップ	Skill Swap	Wertewechsel	Échange	Baratto	Intercambio	스킬스웹	特性互换	特性互換
ふういん	Imprison	Begrenzer	Possessif	Esclusiva	Cerca	봉인	封印	封印
リフレッシュ	Refresh	Heilung	Régénération	Rinfrescata	Alivio	리프레쉬	焕然一新	煥然一新
おんねん	Grudge	Nachspiel	Rancune	Rancore	Rabia	원념	怨念	怨念
よこどり	Snatch	Übernahme	Saisie	Scippo	Robo	가로챔	抢夺	搶奪
ひみつのちから	Secret Power	Geheimpower	Force Cachée	Forzasegreta	Daño Secreto	비밀의힘	秘密之力	秘密之力
ダイビング	Dive	Taucher	Plongée	Sub	Buceo	다이빙	潜水	潛水
つっぱり	Arm Thrust	Armstoß	Cogne	Sberletese	Empujón	손바닥치기	猛推	猛推
ほごしょく	Camouflage	Tarnung	Camouflage	Camuffamento	Camuflaje	보호색	保护色	保護色
ほたるび	Tail Glow	Schweifglanz	Lumiqueue	Codadiluce	Ráfaga	반딧불	萤火	螢火
ラスターパージ	Luster Purge	Scheinwerfer	Lumi-Éclat	Abbagliante	Resplandor	라스트버지	洁净光芒	潔淨光芒
ミストボール	Mist Ball	Nebelball	Ball’Brume	Foschisfera	Bola Neblina	미스트볼	薄雾球	薄霧球
フェザーダンス	Feather Dance	Daunenreigen	Danse-Plume	Danzadipiume	Danza Pluma	깃털댄스	羽毛舞	羽毛舞
フラフラダンス	Teeter Dance	Taumeltanz	Danse-Folle	Strampadanza	Danza Caos	흔들흔들댄스	摇晃舞	搖晃舞
ブレイズキック	Blaze Kick	Feuerfeger	Pied Brûleur	Calciardente	Patada Ígnea	브레이즈킥	火焰踢	火焰踢
どろあそび	Mud Sport	Lehmsuhler	Lance-Boue	Fangata	Chapoteo Lodo	흙놀이	玩泥巴	玩泥巴
アイスボール	Ice Ball	Frostbeule	Ball’Glace	Palla Gelo	Bola Hielo	아이스볼	冰球	冰球
ニードルアーム	Needle Arm	Nietenranke	Poing Dard	Pugnospine	Brazo Pincho	바늘팔	尖刺臂	尖刺臂
なまける	Slack Off	Tagedieb	Paresse	Pigro	Relajo	태만함	偷懒	偷懶
ハイパーボイス	Hyper Voice	Schallwelle	Mégaphone	Granvoce	Vozarrón	하이퍼보이스	巨声	巨聲
どくどくのキバ	Poison Fang	Giftzahn	Crochet Venin	Velenodenti	Colmillo Ven	독엄니	剧毒牙	劇毒牙
ブレイククロー	Crush Claw	Zermalmklaue	Éclate Griffe	Tritartigli	Garra Brutal	브레이크크루	撕裂爪	撕裂爪
ブラストバーン	Blast Burn	Lohekanonade	Rafale Feu	Incendio	Anillo Ígneo	블러스트번	爆炸烈焰	爆炸烈焰
ハイドロカノン	Hydro Cannon	Aquahaubitze	Hydroblast	Idrocannone	Hidrocañón	하이드로캐논	加农水炮	加農水炮
コメットパンチ	Meteor Mash	Sternenhieb	Poing Météore	Meteorpugno	Puño Meteoro	코멧펀치	彗星拳	彗星拳
おどろかす	Astonish	Erstauner	Étonnement	Sgomento	Impresionar	놀래키기	惊吓	驚嚇
ウェザーボール	Weather Ball	Meteorologe	Ball’Météo	Palla Clima	Meteorobola	웨더볼	气象球	氣象球
アロマセラピー	Aromatherapy	Aromakur	Aromathérapie	Aromaterapia	Aromaterapia	아로마테라피	芳香治疗	芳香治療
うそなき	Fake Tears	Trugträne	Croco Larme	Falselacrime	Llanto Falso	거짓울음	假哭	假哭
エアカッター	Air Cutter	Windschnitt	Tranch’Air	Aerasoio	Aire Afilado	에어컷터	空气利刃	空氣利刃
オーバーヒート	Overheat	Hitzekoller	Surchauffe	Vampata	Sofoco	오버히트	过热	過熱
かぎわける	Odor Sleuth	Schnüffler	Flair	Segugio	Rastreo	냄새구별	气味侦测	氣味偵測
がんせきふうじ	Rock Tomb	Felsgrab	Tomberoche	Rocciotomba	Tumba Rocas	암석봉인	岩石封锁	岩石封鎖
ぎんいろのかぜ	Silver Wind	Silberhauch	Vent Argenté	Ventargenteo	Viento Plata	은빛바람	银色旋风	銀色旋風
きんぞくおん	Metal Sound	Metallsound	Strido-Son	Ferrostrido	Eco Metálico	금속음	金属音	金屬音
くさぶえ	Grass Whistle	Grasflöte	Siffl’Herbe	Meloderba	Silbato	풀피리	草笛	草笛
くすぐる	Tickle	Spaßkanone	Chatouille	Solletico	Cosquillas	간지르기	挠痒	搔癢
コスモパワー	Cosmic Power	Kosmik-Kraft	Force Cosmik	Cosmoforza	Masa Cósmica	코스믹파워	宇宙力量	宇宙力量
しおふき	Water Spout	Fontränen	Giclédo	Zampillo	Salpicar	해수스파우팅	喷水	噴水
シグナルビーム	Signal Beam	Ampelleuchte	Rayon Signal	Segnoraggio	Doble Rayo	시그널빔	信号光束	信號光束
シャドーパンチ	Shadow Punch	Finsterfaust	Poing Ombre	Pugnodombra	Puño Sombra	섀도펀치	暗影拳	暗影拳
じんつうりき	Extrasensory	Sondersensor	Extrasenseur	Extrasenso	Paranormal	신통력	神通力	神通力
スカイアッパー	Sky Uppercut	Himmelhieb	Stratopercut	Stramontante	Gancho Alto	스카이업퍼	冲天拳	衝天拳
すなじごく	Sand Tomb	Sandgrab	Tourbi-Sable	Sabbiotomba	Bucle Arena	모래지옥	流沙地狱	流沙地獄
ぜったいれいど	Sheer Cold	Eiseskälte	Glaciation	Purogelo	Frío Polar	절대영도	绝对零度	絕對零度
だくりゅう	Muddy Water	Lehmbrühe	Ocroupi	Fanghiglia	Agua Lodosa	탁류	浊流	濁流
タネマシンガン	Bullet Seed	Kugelsaat	Balle Graine	Semitraglia	Recurrente	기관총	种子机关枪	種子機關槍
つばめがえし	Aerial Ace	Aero-Ass	Aéropique	Aeroassalto	Golpe Aéreo	제비반환	燕返	燕返
つららばり	Icicle Spear	Eisspeer	Stalagtite	Gelolancia	Carámbano	고드름침	冰锥	冰錐
てっぺき	Iron Defense	Eisenabwehr	Mur de Fer	Ferroscudo	Defensa Férrea	철벽	铁壁	鐵壁
とおせんぼう	Block	Rückentzug	Barrage	Blocco	Bloqueo	블록	挡路	擋路
とおぼえ	Howl	Jauler	Grondement	Gridodilotta	Aullido	멀리짖음	长嚎	長嚎
ドラゴンクロー	Dragon Claw	Drachenklaue	Dracogriffe	Dragartigli	Garra Dragón	드래곤크루	龙爪	龍爪
ハードプラント	Frenzy Plant	Flora-Statue	Végé-Attak	Radicalbero	Planta Feroz	하드플랜트	疯狂植物	瘋狂植物
ビルドアップ	Bulk Up	Protzer	Gonflette	Granfisico	Corpulencia	벌크업	健美	健美
とびはねる	Bounce	Sprungfeder	Rebond	Rimbalzo	Bote	뛰어오르다	弹跳	彈跳
マッドショット	Mud Shot	Lehmschuss	Tir de Boue	Colpodifango	Disparo Lodo	머드숏	泥巴射击	泥巴射擊
ポイズンテール	Poison Tail	Giftschweif	Queue-Poison	Velenocoda	Cola Veneno	포이즌테일	毒尾	毒尾
ほしがる	Covet	Bezirzer	Implore	Supplica	Antojo	탐내다	渴望	渴望
ボルテッカー	Volt Tackle	Volttackle	Électacle	Locomovolt	Placaje Eléc	볼트태클	伏特攻击	伏特攻擊
マジカルリーフ	Magical Leaf	Zauberblatt	Feuille Magik	Fogliamagica	Hoja Mágica	메지컬리프	魔法叶	魔法葉
みずあそび	Water Sport	Nassmacher	Tourniquet	Docciascudo	Hidrochorro	물놀이	玩水	玩水
めいそう	Calm Mind	Gedankengut	Plénitude	Calmamente	Paz Mental	명상	冥想	冥想
リーフブレード	Leaf Blade	Laubklinge	Lame-Feuille	Fendifoglia	Hoja Aguda	리프블레이드	叶刃	葉刃
りゅうのまい	Dragon Dance	Drachentanz	Danse Draco	Dragodanza	Danza Dragón	용의춤	龙之舞	龍之舞
ロックブラスト	Rock Blast	Felswurf	Boule Roc	Cadutamassi	Pedrada	락블레스트	岩石爆击	岩石爆擊
でんげきは	Shock Wave	Schockwelle	Onde de Choc	Ondashock	Onda Voltio	전격파	电击波	電擊波
みずのはどう	Water Pulse	Aquawelle	Vibraqua	Idropulsar	Hidropulso	물의파동	水之波动	水之波動
はめつのねがい	Doom Desire	Kismetwunsch	Carnareket	Obbliderio	Deseo Oculto	파멸의소원	破灭之愿	破滅之願
サイコブースト	Psycho Boost	Psyschub	Psycho Boost	Psicoslancio	Psicoataque	사이코부스트	精神突进	精神突進
はねやすめ	Roost	Ruheort	Atterrissage	Trespolo	Respiro	날개쉬기	羽栖	羽棲
じゅうりょく	Gravity	Erdanziehung	Gravité	Gravità	Gravedad	중력	重力	重力
ミラクルアイ	Miracle Eye	Wunderauge	Œil Miracle	Miracolvista	Gran Ojo	미라클아이	奇迹之眼	奇跡之眼
めざましビンタ	Wake-Up Slap	Weckruf	Réveil Forcé	Svegliopacca	Espabila	잠깨움뺨치기	唤醒巴掌	喚醒巴掌
アームハンマー	Hammer Arm	Hammerarm	Marto-Poing	Martelpugno	Machada	암해머	臂锤	臂錘
ジャイロボール	Gyro Ball	Gyroball	Gyroballe	Vortexpalla	Giro Bola	자이로볼	陀螺球	陀螺球
いやしのねがい	Healing Wish	Heilopfer	Vœu Soin	Curardore	Deseo Cura	치유소원	治愈之愿	治癒之願
しおみず	Brine	Lake	Saumure	Acquadisale	Salmuera	소금물	盐水	鹽水
しぜんのめぐみ	Natural Gift	Beerenkräfte	Don Naturel	Dononaturale	Don Natural	자연의은혜	自然之恩	自然之恩
フェイント	Feint	Offenlegung	Ruse	Fintoattacco	Amago	페인트	佯攻	佯攻
ついばむ	Pluck	Pflücker	Picore	Spennata	Picoteo	쪼아대기	啄食	啄食
おいかぜ	Tailwind	Rückenwind	Vent Arrière	Ventoincoda	Viento Afín	순풍	顺风	順風
つぼをつく	Acupressure	Akupressur	Acupression	Acupressione	Acupresión	경혈찌르기	点穴	點穴
メタルバースト	Metal Burst	Metallstoß	Fulmifer	Metalscoppio	Represión Metal	메탈버스트	金属爆炸	金屬爆炸
とんぼがえり	U-turn	Kehrtwende	Demi-Tour	Retromarcia	Ida y Vuelta	유턴	急速折返	急速折返
インファイト	Close Combat	Nahkampf	Close Combat	Zuffa	A Bocajarro	인파이트	近身战	近身戰
しっぺがえし	Payback	Gegenstoß	Représailles	Rivincita	Vendetta	보복	以牙还牙	以牙還牙
ダメおし	Assurance	Gewissheit	Assurance	Garanzia	Buena Baza	승부굳히기	恶意追击	惡意追擊
さしおさえ	Embargo	Itemsperre	Embargo	Divieto	Embargo	금제	查封	查封
なげつける	Fling	Schleuder	Dégommage	Lancio	Lanzamiento	내던지기	投掷	投擲
サイコシフト	Psycho Shift	Psybann	Échange Psy	Psicotrasfer	Psicocambio	사이코시프트	精神转移	精神轉移
きりふだ	Trump Card	Trumpfkarte	Atout	Asso	As Oculto	마지막수단	王牌	王牌
かいふくふうじ	Heal Block	Heilblockade	Anti-Soin	Anticura	Anticura	회복봉인	回复封锁	回復封鎖
しぼりとる	Wring Out	Auswringen	Essorage	Strizzata	Estrujón	쥐어짜기	绞紧	絞緊
パワートリック	Power Trick	Krafttrick	Astuce Force	Ingannoforza	Truco Fuerza	파워트릭	力量戏法	力量戲法
いえき	Gastro Acid	Magensäfte	Suc Digestif	Gastroacido	Bilis	위액	胃液	胃液
おまじない	Lucky Chant	Beschwörung	Air Veinard	Fortuncanto	Conjuro	주술	幸运咒语	幸運咒語
さきどり	Me First	Egotrip	Moi d’Abord	Precedenza	Yo Primero	선취	抢先一步	搶先一步
まねっこ	Copycat	Imitator	Photocopie	Copione	Copión	흉내쟁이	仿效	仿效
パワースワップ	Power Swap	Krafttausch	Permuforce	Barattoforza	Cambia Fuerza	파워스웹	力量互换	力量互換
ガードスワップ	Guard Swap	Schutztausch	Permugarde	Barattoscudo	Cambia Defensa	가드스웹	防守互换	防守互換
おしおき	Punishment	Strafattacke	Punition	Punizione	Castigo	혼내기	惩罚	懲罰
とっておき	Last Resort	Zuflucht	Dernier Recours	Ultimascelta	Última Baza	뒀다쓰기	珍藏	珍藏
なやみのタネ	Worry Seed	Sorgensamen	Soucigraine	Affannoseme	Abatidoras	고민씨	烦恼种子	煩惱種子
ふいうち	Sucker Punch	Tiefschlag	Coup Bas	Sbigoattacco	Golpe Bajo	기습	突袭	突襲
どくびし	Toxic Spikes	Giftspitzen	Pics Toxik	Fielepunte	Púas Tóxicas	독압정	毒菱	毒菱
ハートスワップ	Heart Swap	Statustausch	Permucœur	Cuorbaratto	Cambia Almas	하트스웹	心灵互换	心靈互換
アクアリング	Aqua Ring	Wasserring	Anneau Hydro	Acquanello	Acua Aro	아쿠아링	水流环	水流環
でんじふゆう	Magnet Rise	Magnetflug	Vol Magnétik	Magnetascesa	Levitón	전자부유	电磁飘浮	電磁飄浮
フレアドライブ	Flare Blitz	Flammenblitz	Boutefeu	Fuococarica	Envite Ígneo	플레어드라이브	闪焰冲锋	閃焰衝鋒
はっけい	Force Palm	Kraftwelle	Forte-Paume	Palmoforza	Palmeo	발경	发劲	發勁
はどうだん	Aura Sphere	Aurasphäre	Aurasphère	Forzasfera	Esfera Aural	파동탄	波导弹	波導彈
ロックカット	Rock Polish	Steinpolitur	Poliroche	Lucidatura	Pulimento	록커트	岩石打磨	岩石打磨
どくづき	Poison Jab	Gifthieb	Direct Toxik	Velenpuntura	Puya Nociva	독찌르기	毒击	毒擊
あくのはどう	Dark Pulse	Finsteraura	Vibrobscur	Neropulsar	Pulso Umbrío	악의파동	恶之波动	惡之波動
つじぎり	Night Slash	Nachthieb	Tranche-Nuit	Nottesferza	Tajo Umbrío	깜짝베기	暗袭要害	暗襲要害
アクアテール	Aqua Tail	Nassschweif	Hydroqueue	Idrondata	Acua Cola	아쿠아테일	水流尾	水流尾
タネばくだん	Seed Bomb	Samenbomben	Canon Graine	Semebomba	Bomba Germen	씨폭탄	种子炸弹	種子炸彈
エアスラッシュ	Air Slash	Luftschnitt	Lame d’Air	Eterelama	Tajo Aéreo	에어슬래시	空气斩	空氣斬
シザークロス	X-Scissor	Kreuzschere	Plaie-Croix	Forbice X	Tijera X	시저크로스	十字剪	十字剪
むしのさざめき	Bug Buzz	Käfergebrumm	Bourdon	Ronzio	Zumbido	벌레의야단법석	虫鸣	蟲鳴
りゅうのはどう	Dragon Pulse	Drachenpuls	Dracochoc	Dragopulsar	Pulso Dragón	용의파동	龙之波动	龍之波動
ドラゴンダイブ	Dragon Rush	Drachenstoß	Dracocharge	Dragofuria	Carga Dragón	드래곤다이브	龙之俯冲	龍之俯衝
パワージェム	Power Gem	Juwelenkraft	Rayon Gemme	Gemmoforza	Joya de Luz	파워젬	力量宝石	力量寶石
ドレインパンチ	Drain Punch	Ableithieb	Vampipoing	Assorbipugno	Puño Drenaje	드레인펀치	吸取拳	吸取拳
しんくうは	Vacuum Wave	Vakuumwelle	Onde Vide	Vuotonda	Onda Vacío	진공파	真空波	真空波
きあいだま	Focus Blast	Fokusstoß	Exploforce	Focalcolpo	Onda Certera	기합구슬	真气弹	真氣彈
エナジーボール	Energy Ball	Energieball	Éco-Sphère	Energipalla	Energibola	에너지볼	能量球	能量球
ブレイブバード	Brave Bird	Sturzflug	Rapace	Baldeali	Pájaro Osado	브레이브버드	勇鸟猛攻	勇鳥猛攻
だいちのちから	Earth Power	Erdkräfte	Telluriforce	Geoforza	Tierra Viva	대지의힘	大地之力	大地之力
すりかえ	Switcheroo	Wechseldich	Passe-Passe	Rapidscambio	Trapicheo	바꿔치기	掉包	掉包
ギガインパクト	Giga Impact	Gigastoß	Giga Impact	Gigaimpatto	Giga Impacto	기가임팩트	终极冲击	終極衝擊
わるだくみ	Nasty Plot	Ränkeschmied	Machination	Congiura	Maquinación	나쁜음모	诡计	詭計
バレットパンチ	Bullet Punch	Patronenhieb	Pisto-Poing	Pugnoscarica	Puño Bala	불릿펀치	子弹拳	子彈拳
ゆきなだれ	Avalanche	Lawine	Avalanche	Slavina	Alud	눈사태	雪崩	雪崩
こおりのつぶて	Ice Shard	Eissplitter	Éclats Glace	Geloscheggia	Canto Helado	얼음뭉치	冰砾	冰礫
シャドークロー	Shadow Claw	Dunkelklaue	Griffe Ombre	Ombrartigli	Garra Umbría	섀도크루	暗影爪	暗影爪
かみなりのキバ	Thunder Fang	Donnerzahn	Crocs Éclair	Fulmindenti	Colmillo Rayo	번개엄니	雷电牙	雷電牙
こおりのキバ	Ice Fang	Eiszahn	Crocs Givre	Gelodenti	Colmillo Hielo	얼음엄니	冰冻牙	冰凍牙
ほのおのキバ	Fire Fang	Feuerzahn	Crocs Feu	Rogodenti	Colmillo Ígneo	불꽃엄니	火焰牙	火焰牙
かげうち	Shadow Sneak	Schattenstoß	Ombre Portée	Furtivombra	Sombra Vil	야습	影子偷袭	影子偷襲
どろばくだん	Mud Bomb	Schlammbombe	Boue-Bombe	Pantanobomba	Bomba Fango	진흙폭탄	泥巴炸弹	泥巴炸彈
サイコカッター	Psycho Cut	Psychoklinge	Coupe Psycho	Psicotaglio	Psicocorte	사이코커터	精神利刃	精神利刃
しねんのずつき	Zen Headbutt	Zen-Kopfstoß	Psykoud’Boul	Cozzata Zen	Cabezazo Zen	사념의박치기	意念头锤	意念頭錘
ミラーショット	Mirror Shot	Spiegelsalve	Miroi-Tir	Cristalcolpo	Disparo Espejo	미러숏	镜光射击	鏡光射擊
ラスターカノン	Flash Cannon	Lichtkanone	Luminocanon	Cannonflash	Foco Resplandor	러스터캐논	加农光炮	加農光炮
ロッククライム	Rock Climb	Kraxler	Escalade	Scalaroccia	Treparrocas	락클라임	攀岩	攀岩
きりばらい	Defog	Auflockern	Anti-Brume	Scacciabruma	Despejar	안개제거	清除浓雾	清除濃霧
トリックルーム	Trick Room	Bizarroraum	Distorsion	Distortozona	Espacio Raro	트릭룸	戏法空间	戲法空間
りゅうせいぐん	Draco Meteor	Draco Meteor	Draco Météore	Dragobolide	Cometa Draco	용성군	流星群	流星群
ほうでん	Discharge	Ladungsstoß	Coup d’Jus	Scarica	Chispazo	방전	放电	放電
ふんえん	Lava Plume	Flammensturm	Ébullilave	Lavasbuffo	Humareda	분연	喷烟	噴煙
リーフストーム	Leaf Storm	Blättersturm	Tempête Verte	Verdebufera	Lluevehojas	리프스톰	飞叶风暴	飛葉風暴
パワーウィップ	Power Whip	Blattgeißel	Mégafouet	Vigorcolpo	Latigazo	파워휩	强力鞭打	強力鞭打
がんせきほう	Rock Wrecker	Felswerfer	Roc-Boulet	Devastomasso	Romperrocas	암석포	岩石炮	岩石炮
クロスポイズン	Cross Poison	Giftstreich	Poison-Croix	Velenocroce	Veneno X	크로스포이즌	十字毒刃	十字毒刃
ダストシュート	Gunk Shot	Mülltreffer	Détricanon	Sporcolancio	Lanza Mugre	더스트슈트	垃圾射击	垃圾射擊
アイアンヘッド	Iron Head	Eisenschädel	Tête de Fer	Metaltestata	Cabeza de Hierro	아이언헤드	铁头	鐵頭
マグネットボム	Magnet Bomb	Magnetbombe	Bombaimant	Bombagnete	Bomba Imán	마그넷봄	磁铁炸弹	磁鐵炸彈
ストーンエッジ	Stone Edge	Steinkante	Lame de Roc	Pietrataglio	Roca Afilada	스톤에지	尖石攻击	尖石攻擊
ゆうわく	Captivate	Liebreiz	Séduction	Incanto	Seducción	유혹	诱惑	誘惑
ステルスロック	Stealth Rock	Tarnsteine	Piège de Roc	Levitoroccia	Trampa Rocas	스텔스록	隐形岩	隱形岩
くさむすび	Grass Knot	Strauchler	Nœud Herbe	Laccioerboso	Hierba Lazo	풀묶기	打草结	打草結
おしゃべり	Chatter	Geschwätz	Babil	Schiamazzo	Cháchara	수다	喋喋不休	喋喋不休
さばきのつぶて	Judgment	Urteilskraft	Jugement	Giudizio	Sentencia	심판의뭉치	制裁光砾	制裁光礫
むしくい	Bug Bite	Käferbiss	Piqûre	Coleomorso	Picadura	벌레먹음	虫咬	蟲咬
チャージビーム	Charge Beam	Ladestrahl	Rayon Chargé	Raggioscossa	Rayo Carga	차지빔	充电光束	充電光束
ウッドハンマー	Wood Hammer	Holzhammer	Martobois	Mazzuolegno	Mazazo	우드해머	木槌	木槌
アクアジェット	Aqua Jet	Wasserdüse	Aqua-Jet	Acquagetto	Acua Jet	아쿠아제트	水流喷射	水流噴射
こうげきしれい	Attack Order	Schlagbefehl	Appel Attaque	Comandourto	Al Ataque	공격지령	攻击指令	攻擊指令
ぼうぎょしれい	Defend Order	Blockbefehl	Appel Défense	Comandoscudo	A Defender	방어지령	防御指令	防禦指令
かいふくしれい	Heal Order	Heilbefehl	Appel Soins	Comandocura	Auxilio	회복지령	回复指令	回復指令
もろはのずつき	Head Smash	Kopfstoß	Fracass’Tête	Zuccata	Testarazo	양날박치기	双刃头锤	雙刃頭錘
ダブルアタック	Double Hit	Doppelschlag	Coup Double	Doppiosmash	Doble Golpe	더블어택	二连击	二連擊
ときのほうこう	Roar of Time	Zeitenlärm	Hurle-Temps	Fragortempo	Distorsión	시간의포효	时光咆哮	時光咆哮
あくうせつだん	Spacial Rend	Raumschlag	Spatio-Rift	Fendispazio	Corte Vacío	공간절단	亚空裂斩	亞空裂斬
みかづきのまい	Lunar Dance	Lunartanz	Danse-Lune	Lunardanza	Danza Lunar	초승달춤	新月舞	新月舞
にぎりつぶす	Crush Grip	Quetschgriff	Presse	Sbriciolmano	Agarrón	묵사발	捏碎	捏碎
マグマストーム	Magma Storm	Lavasturm	Vortex Magma	Magmaclisma	Lluvia Ígnea	마그마스톰	熔岩风暴	熔岩風暴
ダークホール	Dark Void	Schlummerort	Trou Noir	Vuototetro	Brecha Negra	다크홀	暗黑洞	暗黑洞
シードフレア	Seed Flare	Schocksamen	Fulmigraine	Infuriaseme	Fogonazo	시드플레어	种子闪光	種子閃光
あやしいかぜ	Ominous Wind	Unheilböen	Vent Mauvais	Funestovento	Viento Aciago	괴상한바람	奇异之风	奇異之風
シャドーダイブ	Shadow Force	Schemenkraft	Revenant	Oscurotuffo	Golpe Umbrío	섀도다이브	暗影潜袭	暗影潛襲
つめとぎ	Hone Claws	Klauenwetzer	Aiguisage	Unghiaguzze	Afilagarras	손톱갈기	磨爪	磨爪
ワイドガード	Wide Guard	Rundumschutz	Garde Large	Bodyguard	Vastaguardia	와이드가드	广域防守	廣域防守
ガードシェア	Guard Split	Schutzteiler	Partage Garde	Paridifesa	Isoguardia	가드셰어	防守平分	防守平分
パワーシェア	Power Split	Kraftteiler	Partage Force	Pariattacco	Isofuerza	파워셰어	力量平分	力量平分
ワンダールーム	Wonder Room	Wunderraum	Zone Étrange	Mirabilzona	Zona Extraña	원더룸	奇妙空间	奇妙空間
サイコショック	Psyshock	Psychoschock	Choc Psy	Psicoshock	Psicocarga	사이코쇼크	精神冲击	精神衝擊
ベノムショック	Venoshock	Giftschock	Choc Venin	Velenoshock	Carga Tóxica	베놈쇼크	毒液冲击	毒液衝擊
ボディパージ	Autotomize	Autotomie	Allègement	Sganciapesi	Aligerar	바디퍼지	身体轻量化	身體輕量化
いかりのこな	Rage Powder	Wutpulver	Poudre Fureur	Polverabbia	Polvo Ira	분노가루	愤怒粉	憤怒粉
テレキネシス	Telekinesis	Telekinese	Lévikinésie	Telecinesi	Telequinesis	텔레키네시스	意念移物	意念移物
マジックルーム	Magic Room	Magieraum	Zone Magique	Magicozona	Zona Mágica	매직룸	魔法空间	魔法空間
うちおとす	Smack Down	Katapult	Anti-Air	Abbattimento	Antiaéreo	떨어뜨리기	击落	擊落
やまあらし	Storm Throw	Bergsturm	Yama Arashi	Tempestretta	Llave Corsé	업어후리기	山岚摔	山嵐摔
はじけるほのお	Flame Burst	Funkenflug	Rebondifeu	Pirolancio	Pirotecnia	불꽃튀기기	烈焰溅射	烈焰濺射
ヘドロウェーブ	Sludge Wave	Schlammwoge	Cradovague	Fangonda	Onda Tóxica	오물웨이브	污泥波	污泥波
ちょうのまい	Quiver Dance	Falterreigen	Papillodanse	Eledanza	Danza Aleteo	나비춤	蝶舞	蝶舞
ヘビーボンバー	Heavy Slam	Rammboss	Tacle Lourd	Pesobomba	Cuerpo Pesado	헤비봄버	重磅冲撞	重磅衝撞
